"";"satis_dem";"confianza_social";"c25";"confianza_gob";"confianza_pp";"confianza_congreso";"confianza_pdte";"opina_rrss";"interes_politica";"informa_politica";"habla_politica";"ident_ideologica";"valor_movsoc";"edad";"sexo";"nivel_educ";"fact_exp02";"idencuesta"
"satis_dem";1;-0,158840561129271;-0,116736450241316;0,493386148530689;0,360280654972034;0,459337604483952;0,484408567396008;-0,119497348909394;0,0673513252744637;-0,0997888421899024;-0,11403871836161;-0,00381307407951733;0,0422070156147574;-0,155611238329238;-0,0380785597121149;0,0966154350473901;0,0588236880428185;0,0862293090913407
"confianza_social";-0,158840561129271;1;-0,0120951097140284;0,0618118791463228;0,0540388693793103;-0,105203042637885;-0,0212786224059352;0,00584959261750512;-0,147186400727496;-0,158626240814311;-0,154446293314487;0,140268709753192;-0,0529852041805106;-0,132639765068547;0,0264394875247842;-0,118615890274138;-0,142481833794509;-0,144282394539566
"c25";-0,116736450241316;-0,0120951097140284;1;-0,0709555996371073;-0,113092171406586;-0,0742786752375805;-0,137844493311397;-0,152368069057018;-0,24335344526807;-0,12631358264158;-0,16445103088957;0,163204916833573;0,0266702290589821;0,127331773068715;0,0505961296158162;-0,286222257897494;-0,120782059511515;-0,00507953129625182
"confianza_gob";0,493386148530689;0,0618118791463228;-0,0709555996371073;1;0,553794899714348;0,559697256306363;0,695530903733275;-0,187850940780201;0,0737672048314411;0,0325164262083538;-0,0881402247101438;0,008515029964767;-0,0252138756683748;-0,0177098711159964;-0,00635648503596924;0,00539086838180294;0,130084578709855;0,12710818673525
"confianza_pp";0,360280654972034;0,0540388693793103;-0,113092171406586;0,553794899714348;1;0,585385662562049;0,491516494490035;-0,0780566227892773;0,105917213561461;-0,0103709778513741;0,012576050587572;-0,204692330395761;-0,159741173438406;-0,0867745129590779;-0,0422704268508314;-0,0518665831727893;-0,00723709836547874;0,0448744100328033
"confianza_congreso";0,459337604483952;-0,105203042637885;-0,0742786752375805;0,559697256306363;0,585385662562049;1;0,490879663454892;-0,0875541745947577;0,0897870761665272;0,0541548819447239;-0,0400390342172016;-0,0526036324788865;-0,0802244445081522;-0,115065350917514;0,0273948727000593;0,0241128053144786;0,108074757983656;0,0940547298011041
"confianza_pdte";0,484408567396008;-0,0212786224059352;-0,137844493311397;0,695530903733275;0,491516494490035;0,490879663454892;1;-0,231653226319812;-0,0504838857347102;-0,0510817157505667;-0,0903460621740273;0,10821578282519;-0,0924782565142336;-0,0109445583964108;0,0767851779422768;-0,00588102698661306;0,111212526258503;0,118416692787434
"opina_rrss";-0,119497348909394;0,00584959261750512;-0,152368069057018;-0,187850940780201;-0,0780566227892773;-0,0875541745947577;-0,231653226319812;1;0,366001837825037;0,310820108942182;0,238451418310872;-0,268882659737168;0,113344759149812;-0,125776187602292;0,196313487258346;0,107989720644321;-0,0159034863404512;-0,0027341036695985
"interes_politica";0,0673513252744637;-0,147186400727496;-0,24335344526807;0,0737672048314411;0,105917213561461;0,0897870761665272;-0,0504838857347102;0,366001837825037;1;0,52500994888646;0,606859133440159;-0,332219622165163;0,124079180673977;-0,0684818294107831;-0,025377393615538;0,300307012393024;0,085128411085638;0,114889883518241
"informa_politica";-0,0997888421899024;-0,158626240814311;-0,12631358264158;0,0325164262083538;-0,0103709778513741;0,0541548819447239;-0,0510817157505667;0,310820108942182;0,52500994888646;1;0,57498076483408;-0,193649248249396;0,144280978954426;0,0708862038303037;0,118827495704312;0,131485796453715;0,0900178172350047;0,0947161371585377
